ID,ln_balance_limit,sex,education,marriage,age,default_next_month
1,9.903487552536127,1,2,0,24,1
2,11.695247021764184,1,2,1,26,1
3,11.407564949312402,1,2,1,34,0
4,10.819778284410283,1,2,0,37,0
5,10.819778284410283,0,2,0,57,0
6,10.819778284410283,0,1,1,37,0
7,13.122363377404328,0,1,1,29,0
8,11.512925464970229,1,2,1,23,0
9,11.84939770159144,1,3,0,28,0
10,9.903487552536127,0,3,1,35,0
11,12.206072645530174,1,3,1,34,0
12,12.468436909997665,1,1,1,51,0
13,13.353475098367715,1,2,1,41,0
14,11.156250521031495,0,2,1,30,1
15,12.429216196844383,0,1,1,29,0
16,10.819778284410283,1,3,0,23,0
17,9.903487552536127,0,1,1,24,1
18,12.676076274775909,0,1,0,49,0
19,12.793859310432293,1,1,0,49,0
20,12.100712129872347,1,1,1,29,0
21,11.77528972943772,1,3,1,39,0
22,11.695247021764184,1,2,0,39,1
23,11.156250521031495,1,2,1,26,1
24,13.017002861746503,1,1,0,40,1
25,11.407564949312402,0,1,1,23,0
26,10.819778284410283,0,3,1,23,0
27,11.002099841204238,0,1,1,27,1
28,10.819778284410283,1,3,1,30,0
29,10.819778284410283,1,3,0,47,0
30,10.819778284410283,0,1,1,26,0
31,12.345834587905333,1,1,1,27,0
32,10.819778284410283,0,2,1,33,1
33,11.512925464970229,0,1,1,32,0
34,13.122363377404328,1,2,0,54,0
35,13.122363377404328,0,1,0,58,0
36,11.982929094215963,0,1,1,30,0
37,12.542544882151386,0,2,0,40,0
38,11.002099841204238,1,2,1,22,0
39,10.819778284410283,0,1,1,25,1
40,12.542544882151386,0,1,1,31,0
41,12.793859310432293,0,1,1,33,0
42,11.156250521031495,1,1,1,25,0
43,9.210340371976184,0,2,1,22,0
44,11.84939770159144,1,2,0,37,0
45,10.596634733096073,1,1,1,30,0
46,12.254862809699606,0,1,1,29,1
47,9.903487552536127,1,1,1,22,1
48,11.918390573078392,1,5,1,46,1
49,12.84792653170257,0,2,1,32,0
50,9.903487552536127,0,1,1,24,0
51,11.156250521031495,0,3,1,42,1
52,11.512925464970229,1,3,0,43,0
53,12.644327576461329,1,2,0,49,0
54,12.100712129872347,1,1,1,25,0
55,11.918390573078392,1,1,1,29,0
56,13.122363377404328,1,1,0,45,0
57,12.100712129872347,1,3,0,34,0
58,12.100712129872347,1,2,0,34,0
59,12.206072645530174,1,1,1,34,0
60,12.89921982609012,1,2,0,29,0
61,13.122363377404328,1,3,0,28,1
62,11.156250521031495,0,2,0,39,0
63,10.819778284410283,0,1,1,29,1
64,10.819778284410283,1,2,0,46,1
65,11.77528972943772,1,2,0,51,0
66,12.206072645530174,0,1,0,57,1
67,9.210340371976184,0,2,0,56,1
68,12.254862809699606,1,1,1,30,0
69,11.77528972943772,1,3,1,29,0
70,9.903487552536127,0,5,1,22,0
71,11.289781913656018,0,1,1,31,0
72,12.676076274775909,0,2,1,29,1
73,12.206072645530174,1,2,0,32,0
74,12.577636201962656,1,1,1,37,0
75,12.736700896592344,0,1,1,32,0
76,9.903487552536127,0,2,1,24,0
77,10.819778284410283,0,3,1,25,0
78,12.611537753638338,1,1,0,45,0
79,10.308952660644293,1,2,1,22,1
80,12.388394202324129,1,2,1,44,1
81,13.060487973686241,1,3,0,33,0
82,12.793859310432293,1,1,1,26,0
83,11.002099841204238,0,3,1,30,1
84,12.89921982609012,1,2,0,44,0
85,10.819778284410283,1,3,1,49,0
86,11.982929094215963,0,2,1,33,0
87,12.793859310432293,1,1,0,45,1
88,11.982929094215963,1,2,1,32,0
89,11.77528972943772,1,1,0,35,0
90,9.903487552536127,0,3,1,44,0
91,12.206072645530174,0,1,0,53,1
92,12.542544882151386,1,1,1,39,0
93,11.512925464970229,1,1,1,27,0
94,11.982929094215963,1,2,0,37,0
95,11.002099841204238,1,2,1,23,0
96,11.407564949312402,0,2,1,35,0
97,12.793859310432293,0,1,0,43,0
98,11.918390573078392,0,1,1,27,0
99,10.819778284410283,1,3,0,22,0
100,9.903487552536127,0,2,0,38,1
101,11.84939770159144,0,1,1,32,0
102,12.84792653170257,1,1,1,30,0
103,13.081541382884074,0,1,0,63,0
104,10.819778284410283,1,3,1,22,1
105,11.002099841204238,1,2,1,26,0
106,11.156250521031495,1,2,1,24,0
107,11.289781913656018,1,2,0,36,0
108,12.765688433465597,0,1,1,52,0
109,11.77528972943772,0,2,1,38,0
110,12.793859310432293,0,2,0,35,0
111,12.706847933442663,1,1,0,31,0
112,10.819778284410283,0,3,0,47,0
113,12.542544882151386,0,2,0,41,0
114,11.512925464970229,1,1,1,24,0
115,10.819778284410283,0,2,1,41,0
116,10.308952660644293,0,1,1,24,1
117,12.388394202324129,0,1,1,28,0
118,11.289781913656018,0,2,1,26,1
119,12.89921982609012,0,2,0,34,0
120,12.388394202324129,1,2,1,38,0
121,10.819778284410283,0,3,1,37,1
122,13.017002861746503,0,1,0,40,1
123,11.608235644774552,1,1,0,48,0
124,12.644327576461329,1,2,0,35,1
125,9.903487552536127,0,1,1,27,0
126,9.903487552536127,0,2,1,23,0
127,12.206072645530174,0,3,1,52,0
128,12.100712129872347,0,1,0,36,1
129,10.819778284410283,0,2,0,51,1
130,11.002099841204238,0,3,0,55,0
131,10.308952660644293,1,1,1,23,0
132,12.388394202324129,0,1,1,41,0
133,12.948009990259552,0,2,0,34,0
134,12.706847933442663,0,3,0,46,0
135,10.308952660644293,1,2,1,22,0
136,12.388394202324129,0,2,0,34,0
137,11.918390573078392,0,1,1,27,0
138,12.254862809699606,1,2,0,33,0
139,10.819778284410283,1,3,0,51,1
140,10.819778284410283,0,1,1,24,0
141,12.388394202324129,0,1,1,47,1
142,12.100712129872347,0,2,1,28,0
143,10.819778284410283,0,2,1,23,0
144,12.043553716032399,0,2,1,29,0
145,9.903487552536127,0,1,1,29,0
146,10.819778284410283,0,1,1,28,0
147,12.043553716032399,1,2,1,27,1
148,12.206072645530174,0,1,1,34,0
149,11.289781913656018,1,2,0,23,0
150,12.468436909997665,1,1,0,60,0
151,11.84939770159144,0,2,0,32,0
152,11.289781913656018,0,1,1,25,0
153,12.765688433465597,0,1,1,41,0
154,12.542544882151386,1,2,0,56,0
155,10.308952660644293,1,3,1,26,0
156,11.84939770159144,0,1,0,34,0
157,12.206072645530174,1,1,1,37,0
158,12.206072645530174,1,3,1,30,0
159,12.254862809699606,0,3,0,45,1
160,10.819778284410283,0,3,0,57,0
161,10.308952660644293,0,1,1,41,0
162,10.819778284410283,0,2,1,27,0
163,12.577636201962656,0,3,0,47,0
164,12.429216196844383,1,1,0,34,0
165,11.002099841204238,1,2,0,46,0
166,11.608235644774552,1,1,1,27,0
167,12.821258284620408,0,1,1,50,0
168,11.512925464970229,0,2,0,27,0
169,11.407564949312402,1,2,0,35,0
170,10.819778284410283,1,2,1,22,0
171,12.506177237980511,0,2,1,37,0
172,12.611537753638338,1,1,1,30,0
173,10.819778284410283,1,2,1,22,0
174,10.819778284410283,1,1,1,24,1
175,12.793859310432293,0,1,1,29,0
176,11.77528972943772,0,3,0,56,1
177,11.289781913656018,0,1,1,30,0
178,10.819778284410283,0,2,1,30,0
179,9.903487552536127,1,2,1,22,0
180,11.289781913656018,1,2,0,29,0
181,12.388394202324129,0,1,1,37,0
182,11.289781913656018,1,3,1,35,0
183,13.122363377404328,1,1,0,47,0
184,11.002099841204238,1,2,0,24,1
185,9.903487552536127,0,2,1,25,0
186,11.512925464970229,1,2,0,38,1
187,12.793859310432293,1,1,1,32,0
188,12.206072645530174,1,3,1,47,1
189,11.77528972943772,1,2,0,34,0
190,9.903487552536127,1,2,1,31,0
191,12.644327576461329,0,1,1,32,0
192,11.002099841204238,1,1,1,27,1
193,12.100712129872347,1,1,1,29,0
194,12.100712129872347,1,1,1,24,0
195,10.819778284410283,0,2,0,36,0
196,10.819778284410283,1,1,1,24,1
197,11.918390573078392,1,2,0,34,0
198,9.903487552536127,1,1,1,22,0
199,13.122363377404328,1,1,0,34,0
200,10.308952660644293,1,3,1,22,1
201,12.100712129872347,1,1,0,38,0
202,11.84939770159144,0,1,1,31,0
203,11.84939770159144,1,1,1,26,0
204,11.695247021764184,0,2,1,26,0
205,12.793859310432293,1,2,0,48,0
206,9.903487552536127,0,3,0,43,0
207,11.512925464970229,0,1,0,47,0
208,12.254862809699606,1,2,0,41,1
209,11.289781913656018,1,2,1,24,1
210,12.706847933442663,1,1,0,50,0
211,12.301382825334498,0,1,1,24,0
212,12.254862809699606,1,1,0,38,1
213,10.596634733096073,1,3,0,43,0
214,10.308952660644293,0,2,1,39,0
215,13.060487973686241,0,2,1,27,0
216,10.308952660644293,0,3,0,42,0
217,12.388394202324129,1,2,0,36,1
218,11.289781913656018,0,2,1,36,0
219,11.608235644774552,1,3,-1,31,0
220,12.644327576461329,1,1,1,38,0
