amount,term,month,age,education,gender,bad
1000,30,June,45,High School or Below,male,0
1000,30,July,50,Bachelor,female,0
1000,30,August,33,Bachelor,female,0
1000,15,September,27,college,male,0
1000,30,October,28,college,female,0
300,7,July,35,Master or Above,male,0
1000,30,September,29,college,male,0
1000,30,May,36,college,male,0
1000,30,May,28,college,male,0
800,15,April,26,college,male,0
300,7,April,29,college,male,0
1000,15,September,39,High School or Below,male,0
1000,30,December,26,college,male,0
900,7,May,26,college,female,0
1000,7,May,27,High School or Below,male,0
800,15,July,26,college,male,0
1000,30,July,40,High School or Below,male,0
1000,15,January,32,High School or Below,male,0
1000,30,August,32,High School or Below,male,0
800,30,April,26,college,male,0
1000,30,July,26,college,male,0
1000,30,May,43,High School or Below,female,0
1000,30,October,25,High School or Below,male,0
1000,15,August,26,college,male,0
1000,30,March,26,college,male,0
1000,30,August,29,High School or Below,male,0
800,15,April,39,Bachelor,male,0
1000,15,June,34,Bachelor,male,0
1000,30,June,31,college,male,0
1000,30,November,33,college,male,0
800,15,February,33,High School or Below,male,0
1000,30,March,37,college,male,0
1000,30,May,27,college,male,0
1000,30,October,37,college,male,0
800,15,January,33,college,male,0
800,15,January,29,Bachelor,male,0
1000,30,July,27,High School or Below,male,0
700,15,September,33,High School or Below,male,0
1000,15,May,24,college,male,0
1000,30,February,21,Bachelor,male,0
1000,15,September,32,college,female,0
800,15,February,30,college,male,0
1000,7,January,31,Bachelor,male,0
1000,15,October,30,college,male,0
1000,15,July,24,Bachelor,female,0
800,7,July,35,High School or Below,male,0
1000,30,July,22,High School or Below,male,0
1000,30,July,32,college,male,0
1000,30,September,32,Bachelor,male,0
800,15,February,50,High School or Below,male,0
800,15,December,27,college,female,0
1000,30,July,35,Bachelor,female,0
800,15,November,35,Bachelor,female,0
1000,30,January,34,High School or Below,male,0
1000,30,October,21,High School or Below,male,0
1000,15,July,25,college,male,0
1000,30,May,27,High School or Below,male,0
1000,30,May,26,Bachelor,male,0
800,15,December,44,High School or Below,female,0
800,15,January,39,Master or Above,male,0
1000,30,December,34,Bachelor,male,0
1000,15,September,37,college,male,0
1000,30,January,34,High School or Below,male,0
1000,30,April,45,college,male,0
800,15,March,24,High School or Below,male,0
900,15,February,28,college,male,0
1000,30,July,28,Bachelor,male,0
1000,30,September,37,High School or Below,male,0
300,7,December,35,college,male,0
1000,30,November,43,Bachelor,male,0
800,15,April,29,college,male,0
800,15,July,29,High School or Below,male,0
1000,30,August,33,Bachelor,female,0
1000,15,April,34,college,male,0
1000,15,July,25,college,male,0
1000,30,April,30,High School or Below,male,0
1000,30,February,31,Bachelor,male,0
1000,30,December,35,college,male,0
1000,30,November,37,college,female,0
1000,30,June,44,High School or Below,female,0
1000,30,July,28,High School or Below,male,0
1000,7,September,25,college,male,0
1000,15,November,29,college,male,0
800,15,November,33,college,male,0
1000,30,April,37,High School or Below,female,0
1000,30,February,33,college,male,0
1000,30,November,24,High School or Below,female,0
1000,30,May,27,college,female,0
800,15,May,43,Bachelor,male,0
800,15,August,46,High School or Below,female,0
800,15,December,34,college,female,0
1000,7,August,32,Bachelor,female,0
800,15,March,38,High School or Below,male,0
800,15,December,27,High School or Below,male,0
1000,30,December,33,High School or Below,male,0
1000,30,July,36,college,male,0
1000,15,November,26,High School or Below,male,0
1000,30,February,34,college,male,0
1000,30,January,22,High School or Below,male,0
1000,30,June,31,Bachelor,female,0
1000,7,June,29,High School or Below,male,0
800,15,November,38,college,male,0
1000,30,August,30,college,male,0
1000,15,October,45,High School or Below,male,0
1000,15,February,35,college,male,0
1000,30,June,30,college,male,0
1000,30,September,31,High School or Below,male,0
1000,30,September,31,High School or Below,male,0
1000,30,July,28,college,male,0
1000,7,July,29,college,male,0
800,15,August,29,college,male,0
1000,30,January,27,college,female,0
1000,30,May,27,college,male,0
1000,30,August,33,college,male,0
1000,30,November,28,college,male,0
1000,15,July,25,High School or Below,male,0
1000,30,March,40,college,male,0
1000,30,October,23,High School or Below,male,0
1000,30,May,35,Bachelor,male,0
800,15,June,24,college,male,0
1000,30,April,34,college,male,0
1000,30,January,22,High School or Below,male,0
1000,15,June,20,college,male,0
1000,15,November,23,college,male,0
1000,30,July,33,college,male,0
1000,30,August,26,college,male,0
1000,15,March,28,High School or Below,male,0
800,15,October,43,High School or Below,male,0
1000,15,October,34,Bachelor,male,0
1000,30,June,38,Bachelor,male,0
1000,15,June,26,High School or Below,male,0
800,15,January,43,High School or Below,male,0
1000,30,September,26,High School or Below,male,0
1000,30,May,33,college,female,0
